phrase,type,category,article,verb_forms
sein,word,verb,,"sein, war, ist gewesen"
die Sonne,word,noun,die,
scheinen,word,verb,,"scheinen, schien, hat geschienen"
der Regen,word,noun,der,
fallen,word,verb,,"fallen, fiel, ist gefallen"
die Wolke,word,noun,die,
ziehen,word,verb,,"ziehen, zog, ist gezogen"
der Schnee,word,noun,der,
liegen,word,verb,,"liegen, lag, hat gelegen"
das Eis,word,noun,das,
schmelzen,word,verb,,"schmelzen, schmolz, ist geschmolzen"
die Temperatur,word,noun,die,
steigen,word,verb,,"steigen, stieg, ist gestiegen"
die Luft,word,noun,die,
atmen,word,verb,,"atmen, atmete, hat geatmet"
der Wind,word,noun,der,
wehen,word,verb,,"wehen, wehte, hat geweht"
