phrase,type,category,article,verb_forms
sich verlassen auf,phrase,verb,,"sich verlassen auf, verließ sich, hat sich verlassen"
Entscheidung,word,noun,die,
hinweisen auf,phrase,verb,,"hinweisen auf, wies hin, hat hingewiesen"
schildern,word,verb,,"schildern, schilderte, hat geschildert"
Kriterium,word,noun,das,
sich einsetzen für,phrase,verb,,"sich einsetzen für, setzte sich ein, hat sich eingesetzt"
Haltung,word,noun,die,
untersuchen,word,verb,,"untersuchen, untersuchte, hat untersucht"
Gesellschaft,word,noun,die,
Ergebnis,word,noun,das,
übertragen,word,verb,,"übertragen, übertrug, hat übertragen"
beeindrucken,word,verb,,"beeindrucken, beeindruckte, hat beeindruckt"
Beweis,word,noun,der,
sich beziehen auf,phrase,verb,,"sich beziehen auf, bezog sich, hat sich bezogen"
vergleichen,word,verb,,"vergleichen, verglich, hat verglichen"
Zustimmung,word,noun,die,
Wahrnehmung,word,noun,die,
beobachten,word,verb,,"beobachten, beobachtete, hat beobachtet"
weiterentwickeln,word,verb,,"weiterentwickeln, entwickelte weiter, hat weiterentwickelt"
Tatsache,word,noun,die,
enttäuschen,word,verb,,"enttäuschen, enttäuschte, hat enttäuscht"
Drohung,word,noun,die,
erschweren,word,verb,,"erschweren, erschwerte, hat erschwert"
Verantwortung,word,noun,die,
sich unterscheiden von,phrase,verb,,"sich unterscheiden von, unterschied sich, hat sich unterschieden"
ermöglichen,word,verb,,"ermöglichen, ermöglichte, hat ermöglicht"
Schätzung,word,noun,die,
Hindernis,word,noun,das,
sich konzentrieren auf,phrase,verb,,"sich konzentrieren auf, konzentrierte sich, hat sich konzentriert"
Anspruch,word,noun,der,
voraussetzen,word,verb,,"voraussetzen, setzte voraus, hat vorausgesetzt"
ermitteln,word,verb,,"ermitteln, ermittelte, hat ermittelt"
Erfolg,word,noun,der,
sich beziehen auf,phrase,verb,,"sich beziehen auf, bezog sich, hat sich bezogen"
reagieren auf,phrase,verb,,"reagieren auf, reagierte, hat reagiert"
Vorwurf,word,noun,der,
beurteilen,word,verb,,"beurteilen, beurteilte, hat beurteilt"
Kenntnis,word,noun,die,
eine Rolle spielen,phrase,verb,,"eine Rolle spielen, spielte, hat gespielt"
Verhandlung,word,noun,die,
auf etwas eingehen,phrase,verb,,"auf etwas eingehen, ging ein, ist eingegangen"
Maßgeblich sein,phrase,verb,,"maßgeblich sein, war, ist gewesen"
Verantwortung übernehmen,phrase,verb,,"Verantwortung übernehmen, übernahm, hat übernommen"
die Initiative ergreifen,phrase,verb,,"die Initiative ergreifen, ergriff, hat ergriffen"
in Betracht kommen,phrase,verb,,"in Betracht kommen, kam, ist gekommen"
zur Kenntnis nehmen,phrase,verb,,"zur Kenntnis nehmen, nahm, hat genommen"
eine Entscheidung fällen,phrase,verb,,"eine Entscheidung fällen, fällte, hat gefällt"
den Ausschlag geben,phrase,verb,,"den Ausschlag geben, gab, hat gegeben"
in Verbindung stehen,phrase,verb,,"in Verbindung stehen, stand, hat gestanden"
die Einigung erzielen,phrase,verb,,"die Einigung erzielen, erzielte, hat erzielt"
einen Beitrag leisten,phrase,verb,,"einen Beitrag leisten, leistete, hat geleistet"
in Frage kommen,phrase,verb,,"in Frage kommen, kam, ist gekommen"
Maßnahmen ergreifen,phrase,verb,,"Maßnahmen ergreifen, ergriff, hat ergriffen"
in Gang setzen,phrase,verb,,"in Gang setzen, setzte, hat gesetzt"
eine Rolle spielen,phrase,verb,,"eine Rolle spielen, spielte, hat gespielt"
eine Prüfung ablegen,phrase,verb,,"eine Prüfung ablegen, legte ab, hat abgelegt"
den Überblick behalten,phrase,verb,,"den Überblick behalten, behielt, hat behalten"
eine Meinung vertreten,phrase,verb,,"eine Meinung vertreten, vertrat, hat vertreten"
eine Lösung finden,phrase,verb,,"eine Lösung finden, fand, hat gefunden"
Vertrauen gewinnen,phrase,verb,,"Vertrauen gewinnen, gewann, hat gewonnen"
in Anspruch nehmen,phrase,verb,,"in Anspruch nehmen, nahm, hat genommen"
eine Frage stellen,phrase,verb,,"eine Frage stellen, stellte, hat gestellt"
in Erfahrung bringen,phrase,verb,,"in Erfahrung bringen, brachte, hat gebracht"
die Aufmerksamkeit lenken,phrase,verb,,"die Aufmerksamkeit lenken, lenkte, hat gelenkt"
einen Kompromiss schließen,phrase,verb,,"einen Kompromiss schließen, schloss, hat geschlossen"
eine Kontrolle durchführen,phrase,verb,,"eine Kontrolle durchführen, führte durch, hat durchgeführt"
eine Kritik äußern,phrase,verb,,"eine Kritik äußern, äußerte, hat geäußert"
einen Vorschlag machen,phrase,verb,,"einen Vorschlag machen, machte, hat gemacht"
eine Verabredung treffen,phrase,verb,,"eine Verabredung treffen, traf, hat getroffen"
eine Vereinbarung treffen,phrase,verb,,"eine Vereinbarung treffen, traf, hat getroffen"
das Gespräch suchen,phrase,verb,,"das Gespräch suchen, suchte, hat gesucht"
eine Meinung bilden,phrase,verb,,"eine Meinung bilden, bildete, hat gebildet"
Verantwortung tragen,phrase,verb,,"Verantwortung tragen, trug, hat getragen"
eine Aufgabe übernehmen,phrase,verb,,"eine Aufgabe übernehmen, übernahm, hat übernommen"
eine Beratung durchführen,phrase,verb,,"eine Beratung durchführen, führte durch, hat durchgeführt"
einen Eindruck gewinnen,phrase,verb,,"einen Eindruck gewinnen, gewann, hat gewonnen"
den Eindruck erwecken,phrase,verb,,"den Eindruck erwecken, erweckte, hat erweckt"
in Zweifel ziehen,phrase,verb,,"in Zweifel ziehen, zog, hat gezogen"
einen Fehler machen,phrase,verb,,"einen Fehler machen, machte, hat gemacht"
eine Frage beantworten,phrase,verb,,"eine Frage beantworten, beantwortete, hat beantwortet"
eine Lösung anbieten,phrase,verb,,"eine Lösung anbieten, bot an, hat angeboten"
eine Rede halten,phrase,verb,,"eine Rede halten, hielt, hat gehalten"
eine Rolle übernehmen,phrase,verb,,"eine Rolle übernehmen, übernahm, hat übernommen"
einen Vertrag schließen,phrase,verb,,"einen Vertrag schließen, schloss, hat geschlossen"
den Unterschied machen,phrase,verb,,"den Unterschied machen, machte, hat gemacht"
eine Verantwortung übernehmen,phrase,verb,,"eine Verantwortung übernehmen, übernahm, hat übernommen"
einen Vorschlag unterbreiten,phrase,verb,,"einen Vorschlag unterbreiten, unterbreitete, hat unterbreitet"
den Weg ebnen,phrase,verb,,"den Weg ebnen, ebnete, hat geebnet"
eine Wirkung erzielen,phrase,verb,,"eine Wirkung erzielen, erzielte, hat erzielt"
eine Wirkung haben,phrase,verb,,"eine Wirkung haben, hatte, hat gehabt"
einen Beitrag geben,phrase,verb,,"einen Beitrag geben, gab, hat gegeben"
eine Änderung vornehmen,phrase,verb,,"eine Änderung vornehmen, nahm vor, hat vorgenommen"
einen Auftrag erteilen,phrase,verb,,"einen Auftrag erteilen, erteilte, hat erteilt"
eine Entscheidung treffen,phrase,verb,,"eine Entscheidung treffen, traf, hat getroffen"
einen Fehler vermeiden,phrase,verb,,"einen Fehler vermeiden, vermied, hat vermieden"
eine Frage klären,phrase,verb,,"eine Frage klären, klärte, hat geklärt"
einen Kompromiss eingehen,phrase,verb,,"einen Kompromiss eingehen, ging ein, ist eingegangen"
eine Lösung finden,phrase,verb,,"eine Lösung finden, fand, hat gefunden"
einen Plan erstellen,phrase,verb,,"einen Plan erstellen, erstellte, hat erstellt"
eine Prüfung ablegen,phrase,verb,,"eine Prüfung ablegen, legte ab, hat abgelegt"
eine Rolle spielen,phrase,verb,,"eine Rolle spielen, spielte, hat gespielt"
eine Vereinbarung treffen,phrase,verb,,"eine Vereinbarung treffen, traf, hat getroffen"
eine Verantwortung tragen,phrase,verb,,"eine Verantwortung tragen, trug, hat getragen"
den Anfang machen,phrase,verb,,"den Anfang machen, machte, hat gemacht"
eine Auswahl treffen,phrase,verb,,"eine Auswahl treffen, traf, hat getroffen"
eine Behauptung aufstellen,phrase,verb,,"eine Behauptung aufstellen, stellte auf, hat aufgestellt"
eine Diskussion führen,phrase,verb,,"eine Diskussion führen, führte, hat geführt"
einen Eindruck hinterlassen,phrase,verb,,"einen Eindruck hinterlassen, hinterließ, hat hinterlassen"
einen Fehler beheben,phrase,verb,,"einen Fehler beheben, behob, hat behoben"
eine Frage stellen,phrase,verb,,"eine Frage stellen, stellte, hat gestellt"
eine Lösung vorschlagen,phrase,verb,,"eine Lösung vorschlagen, schlug vor, hat vorgeschlagen"
eine Meinung äußern,phrase,verb,,"eine Meinung äußern, äußerte, hat geäußert"
eine Prüfung bestehen,phrase,verb,,"eine Prüfung bestehen, bestand, hat bestanden"
eine Rolle spielen,phrase,verb,,"eine Rolle spielen, spielte, hat gespielt"
eine Verantwortung übernehmen,phrase,verb,,"eine Verantwortung übernehmen, übernahm, hat übernommen"
eine Veränderung bewirken,phrase,verb,,"eine Veränderung bewirken, bewirkte, hat bewirkt"
einen Vertrag abschließen,phrase,verb,,"einen Vertrag abschließen, schloss ab, hat abgeschlossen"
den Vorwurf erheben,phrase,verb,,"den Vorwurf erheben, erhob, hat erhoben"
einen Vorschlag ablehnen,phrase,verb,,"einen Vorschlag ablehnen, lehnte ab, hat abgelehnt"
eine Wahl treffen,phrase,verb,,"eine Wahl treffen, traf, hat getroffen"
einen Antrag stellen,phrase,verb,,"einen Antrag stellen, stellte, hat gestellt"
eine Antwort geben,phrase,verb,,"eine Antwort geben, gab, hat gegeben"
eine Aufgabe erledigen,phrase,verb,,"eine Aufgabe erledigen, erledigte, hat erledigt"
eine Bedeutung haben,phrase,verb,,"eine Bedeutung haben, hatte, hat gehabt"
eine Beratung geben,phrase,verb,,"eine Beratung geben, gab, hat gegeben"
einen Eindruck gewinnen,phrase,verb,,"einen Eindruck gewinnen, gewann, hat gewonnen"
eine Erklärung abgeben,phrase,verb,,"eine Erklärung abgeben, gab ab, hat abgegeben"
eine Entscheidung fällen,phrase,verb,,"eine Entscheidung fällen, fällte, hat gefällt"
eine Frage beantworten,phrase,verb,,"eine Frage beantworten, beantwortete, hat beantwortet"
eine Lösung präsentieren,phrase,verb,,"eine Lösung präsentieren, präsentierte, hat präsentiert"
eine Meinung vertreten,phrase,verb,,"eine Meinung vertreten, vertrat, hat vertreten"
eine Rolle übernehmen,phrase,verb,,"eine Rolle übernehmen, übernahm, hat übernommen"
einen Vorschlag machen,phrase,verb,,"einen Vorschlag machen, machte, hat gemacht"
den Weg bereiten,phrase,verb,,"den Weg bereiten, bereitete, hat bereitet"
eine Vereinbarung abschließen,phrase,verb,,"eine Vereinbarung abschließen, schloss ab, hat abgeschlossen"
eine Verantwortung tragen,phrase,verb,,"eine Verantwortung tragen, trug, hat getragen"
eine Wahl treffen,phrase,verb,,"eine Wahl treffen, traf, hat getroffen"
einen Auftrag erteilen,phrase,verb,,"einen Auftrag erteilen, erteilte, hat erteilt"
eine Entscheidung treffen,phrase,verb,,"eine Entscheidung treffen, traf, hat getroffen"
überwinden,word,verb,,"überwinden, überwand, hat überwunden"
das Anliegen,word,noun,das,
ausdrücken,word,verb,,"ausdrücken, drückte aus, hat ausgedrückt"
zusammenfassen,word,verb,,"zusammenfassen, fasste zusammen, hat zusammengefasst"
die Gelegenheit,word,noun,die,
hervorheben,word,verb,,"hervorheben, hob hervor, hat hervorgehoben"
die Voraussetzung,word,noun,die,
enttäuscht,word,adjective,,
darstellen,word,verb,,"darstellen, stellte dar, hat dargestellt"
der Antrag,word,noun,der,
die Aussage,word,noun,die,
einleiten,word,verb,,"einleiten, leitete ein, hat eingeleitet"
die Entwicklung,word,noun,die,
die Erfahrung,word,noun,die,
die Wirkung,word,noun,die,
sich auswirken auf,phrase,verb,,"sich auswirken auf, wirkte sich aus, hat sich ausgewirkt"
beabsichtigen,word,verb,,"beabsichtigen, beabsichtigte, hat beabsichtigt"
wesentlich,word,adjective,,
eine Meinung äußern,phrase,verb,,"eine Meinung äußern, äußerte, hat geäußert"
der Bericht,word,noun,der,
die Auswirkung,word,noun,die,
erwerben,word,verb,,"erwerben, erwarb, hat erworben"
die Kompetenz,word,noun,die,
der Eindruck,word,noun,der,
die Anforderung,word,noun,die,
widersprechen,word,verb,,"widersprechen, widersprach, hat widersprochen"
der Sachverhalt,word,noun,der,
anbieten,word,verb,,"anbieten, bot an, hat angeboten"
die Aussagekraft,word,noun,die,
widersprüchlich,word,adjective,,
sich ergeben aus,phrase,verb,,"sich ergeben aus, ergab sich, hat sich ergeben"
die Einhaltung,word,noun,die,
akzeptieren,word,verb,,"akzeptieren, akzeptierte, hat akzeptiert"
die Beurteilung,word,noun,die,
die Möglichkeit,word,noun,die,
die Lösung,word,noun,die,
ausreichend,word,adjective,,
ausnutzen,word,verb,,"ausnutzen, nutzte aus, hat ausgenutzt"
die Darstellung,word,noun,die,
sich beschränken auf,phrase,verb,,"sich beschränken auf, beschränkte sich, hat sich beschränkt"
der Bezug,word,noun,der,
bedeuten,word,verb,,"bedeuten, bedeutete, hat bedeutet"
beabsichtigen,word,verb,,"beabsichtigen, beabsichtigte, hat beabsichtigt"
die Entwicklung,word,noun,die,
der Fortschritt,word,noun,der,
der Umfang,word,noun,der,
die Bedeutung,word,noun,die,
ausführen,word,verb,,"ausführen, führte aus, hat ausgeführt"
die Verhandlung,word,noun,die,
die Eigenschaft,word,noun,die,
der Zusammenhang,word,noun,der,
die Voraussetzung,word,noun,die,
hervorragend,word,adjective,,
die Darstellung,word,noun,die,
der Auftrag,word,noun,der,
die Berücksichtigung,word,noun,die,
abhalten von,phrase,verb,,"abhalten von, hielt ab, hat abgehalten"
die Aufgabe,word,noun,die,
die Sichtweise,word,noun,die,
der Anspruch,word,noun,der,
einschätzen,word,verb,,"einschätzen, schätzte ein, hat eingeschätzt"
die Erkenntnis,word,noun,die,
beeinflussen,word,verb,,"beeinflussen, beeinflusste, hat beeinflusst"
die Überzeugung,word,noun,die,
einsetzen für,phrase,verb,,"einsetzen für, setzte ein, hat eingesetzt"
der Vorteil,word,noun,der,
der Nachteil,word,noun,der,
einbeziehen,word,verb,,"einbeziehen, bezog ein, hat einbezogen"
die Konsequenz,word,noun,die,
erfahren,word,verb,,"erfahren, erfuhr, hat erfahren"
die Frage,word,noun,die,
bevorzugen,word,verb,,"bevorzugen, bevorzugte, hat bevorzugt"
der Wert,word,noun,der,
klären,word,verb,,"klären, klärte, hat geklärt"
die Verantwortung,word,noun,die,
entscheiden,word,verb,,"entscheiden, entschied, hat entschieden"
die Vereinbarung,word,noun,die,
erweitern,word,verb,,"erweitern, erweiterte, hat erweitert"
die Herausforderung,word,noun,die,
bemerken,word,verb,,"bemerken, bemerkte, hat bemerkt"
die Auswahl,word,noun,die,
ermöglichen,word,verb,,"ermöglichen, ermöglichte, hat ermöglicht"
die Untersuchung,word,noun,die,
sich ergeben,phrase,verb,,"sich ergeben, ergab sich, hat sich ergeben"
die Begründung,word,noun,die,
ausdrücklich,word,adjective,,
die Maßnahme,word,noun,die,
verzichten auf,phrase,verb,,"verzichten auf, verzichtete, hat verzichtet"
die Zustimmung,word,noun,die,
beziehen auf,phrase,verb,,"beziehen auf, bezog, hat bezogen"
die Verpflichtung,word,noun,die,
sich anpassen an,phrase,verb,,"sich anpassen an, passte sich an, hat sich angepasst"
die Kritik,word,noun,die,
vermeiden,word,verb,,"vermeiden, vermied, hat vermieden"
die Überprüfung,word,noun,die,
erfordern,word,verb,,"erfordern, erforderte, hat erfordert"
das Ergebnis,word,noun,das,
nachweisen,word,verb,,"nachweisen, wies nach, hat nachgewiesen"
die Änderung,word,noun,die,
die Vereinbarung,word,noun,die,
belegen,word,verb,,"belegen, belegte, hat belegt"
die Darstellung,word,noun,die,
ausnutzen,word,verb,,"ausnutzen, nutzte aus, hat ausgenutzt"
die Beziehung,word,noun,die,
sich äußern,phrase,verb,,"sich äußern, äußerte sich, hat sich geäußert"
die Wirkung,word,noun,die,
die Analyse,word,noun,die,
die Verhandlung,word,noun,die,
feststellen,word,verb,,"feststellen, stellte fest, hat festgestellt"
die Verantwortung,word,noun,die,
die Absicht,word,noun,die,
einbeziehen,word,verb,,"einbeziehen, bezog ein, hat einbezogen"
die Fähigkeit,word,noun,die,
verantworten,word,verb,,"verantworten, verantwortete, hat verantwortet"
das Konzept,word,noun,das,
vorlegen,word,verb,,"vorlegen, legte vor, hat vorgelegt"
der Vorschlag,word,noun,der,
durchführen,word,verb,,"durchführen, führte durch, hat durchgeführt"
die Überzeugung,word,noun,die,
einen Beitrag leisten,phrase,verb,,"leisten, leistete, hat geleistet"
beurteilen,word,verb,,"beurteilen, beurteilte, hat beurteilt"
die Darstellung,word,noun,die,
verfolgen,word,verb,,"verfolgen, verfolgte, hat verfolgt"
die Forschung,word,noun,die,
sich ergeben aus,phrase,verb,,"ergab sich, hat sich ergeben"
die Grundlage,word,noun,die,
einhalten,word,verb,,"einhalten, hielt ein, hat eingehalten"
der Anspruch,word,noun,der,
die Unterstützung,word,noun,die,
umsetzen,word,verb,,"umsetzen, setzte um, hat umgesetzt"
einrichten,word,verb,,"einrichten, richtete ein, hat eingerichtet"
die Bewertung,word,noun,die,
entwickeln,word,verb,,"entwickeln, entwickelte, hat entwickelt"
der Beitrag,word,noun,der,
betrachten,word,verb,,"betrachten, betrachtete, hat betrachtet"
das Verständnis,word,noun,das,
die Förderung,word,noun,die,
fordern,word,verb,,"fordern, forderte, hat gefordert"
die Zusammenarbeit,word,noun,die,
wiedergeben,word,verb,,"wiedergeben, gab wieder, hat wiedergegeben"
die Aussage,word,noun,die,
fordern,word,verb,,"fordern, forderte, hat gefordert"
das Ergebnis,word,noun,das,
der Unterschied,word,noun,der,
beachten,word,verb,,"beachten, beachtete, hat beachtet"
der Anspruch,word,noun,der,
ergeben,word,verb,,"ergeben, ergab, hat ergeben"
die Bedeutung,word,noun,die,
erwähnen,word,verb,,"erwähnen, erwähnte, hat erwähnt"
die Konsequenz,word,noun,die,
beeinflussen,word,verb,,"beeinflussen, beeinflusste, hat beeinflusst"
der Vorschlag,word,noun,der,
vermeiden,word,verb,,"vermeiden, vermied, hat vermieden"
die Wirkung,word,noun,die,
betonen,word,verb,,"betonen, betonte, hat betont"
das Ergebnis,word,noun,das,
darstellen,word,verb,,"darstellen, stellte dar, hat dargestellt"
die Aufgabe,word,noun,die,
annehmen,word,verb,,"annehmen, nahm an, hat angenommen"
die Entscheidung,word,noun,die,
bewerten,word,verb,,"bewerten, bewertete, hat bewertet"
die Erfahrung,word,noun,die,
erklären,word,verb,,"erklären, erklärte, hat erklärt"
die Möglichkeit,word,noun,die,
beziehen auf,phrase,verb,,"beziehen auf, bezog, hat bezogen"
die Verantwortung,word,noun,die,
einsetzen,word,verb,,"einsetzen, setzte ein, hat eingesetzt"
der Zusammenhang,word,noun,der,
prüfen,word,verb,,"prüfen, prüfte, hat geprüft"
die Darstellung,word,noun,die,
enthalten,word,verb,,"enthalten, enthielt, hat enthalten"
die Lösung,word,noun,die,
vermitteln,word,verb,,"vermitteln, vermittelte, hat vermittelt"
das Verständnis,word,noun,das,
reagieren,word,verb,,"reagieren, reagierte, hat reagiert"
die Voraussetzung,word,noun,die,
widersprechen,word,verb,,"widersprechen, widersprach, hat widersprochen"
die Analyse,word,noun,die,
erfordern,word,verb,,"erfordern, erforderte, hat erfordert"
das Konzept,word,noun,das,
bezeichnen,word,verb,,"bezeichnen, bezeichnete, hat bezeichnet"
die Forschung,word,noun,die,
veröffentlichen,word,verb,,"veröffentlichen, veröffentlichte, hat veröffentlicht"
der Prozess,word,noun,der,
gestalten,word,verb,,"gestalten, gestaltete, hat gestaltet"
die Entwicklung,word,noun,die,
sich ergeben,phrase,verb,,"ergab sich, hat sich ergeben"
die Überzeugung,word,noun,die,
behandeln,word,verb,,"behandeln, behandelte, hat behandelt"
das Ziel,word,noun,das,
verstehen,word,verb,,"verstehen, verstand, hat verstanden"
die Bedeutung,word,noun,die,
nachweisen,word,verb,,"nachweisen, wies nach, hat nachgewiesen"
die Darstellung,word,noun,die,
einführen,word,verb,,"einführen, führte ein, hat eingeführt"
die Stellungnahme,word,noun,die,
unterstützen,word,verb,,"unterstützen, unterstützte, hat unterstützt"
die Meinung,word,noun,die,
entwickeln,word,verb,,"entwickeln, entwickelte, hat entwickelt"
die Aussage,word,noun,die,
verändern,word,verb,,"verändern, veränderte, hat verändert"
der Beitrag,word,noun,der,
einhalten,word,verb,,"einhalten, hielt ein, hat eingehalten"
die Beratung,word,noun,die,
erleichtern,word,verb,,"erleichtern, erleichterte, hat erleichtert"
die Situation,word,noun,die,
vergleichen,word,verb,,"vergleichen, verglich, hat verglichen"
die Alternative,word,noun,die,
bedeuten,word,verb,,"bedeuten, bedeutete, hat bedeutet"
die Möglichkeit,word,noun,die,
realisieren,word,verb,,"realisieren, realisierte, hat realisiert"
die Lösung,word,noun,die,
verhindern,word,verb,,"verhindern, verhinderte, hat verhindert"
das Ergebnis,word,noun,das,
analysieren,word,verb,,"analysieren, analysierte, hat analysiert"
die Funktion,word,noun,die,
beeinträchtigen,word,verb,,"beeinträchtigen, beeinträchtigte, hat beeinträchtigt"
der Prozess,word,noun,der,
erhöhen,word,verb,,"erhöhen, erhöhte, hat erhöht"
die Grundlage,word,noun,die,
überzeugen,word,verb,,"überzeugen, überzeugte, hat überzeugt"
die Verantwortung,word,noun,die,
erklären,word,verb,,"erklären, erklärte, hat erklärt"
das Verständnis,word,noun,das,
einsetzen,word,verb,,"einsetzen, setzte ein, hat eingesetzt"
die Herausforderung,word,noun,die,
fördern,word,verb,,"fördern, förderte, hat gefördert"
die Entwicklung,word,noun,die,
verfolgen,word,verb,,"verfolgen, verfolgte, hat verfolgt"
der Vorteil,word,noun,der,
reduzieren,word,verb,,"reduzieren, reduzierte, hat reduziert"
die Maßnahme,word,noun,die,
nachweisen,word,verb,,"nachweisen, wies nach, hat nachgewiesen"
das Konzept,word,noun,das,
zusammenfassen,word,verb,,"zusammenfassen, fasste zusammen, hat zusammengefasst"
die Bedeutung,word,noun,die,
erkennen,word,verb,,"erkennen, erkannte, hat erkannt"
die Wirkung,word,noun,die,
bewirken,word,verb,,"bewirken, bewirkte, hat bewirkt"
die Meinung,word,noun,die,
vertreten,word,verb,,"vertreten, vertrat, hat vertreten"
der Eindruck,word,noun,der,
vermitteln,word,verb,,"vermitteln, vermittelte, hat vermittelt"
die Möglichkeit,word,noun,die,
einführen,word,verb,,"einführen, führte ein, hat eingeführt"
das Ergebnis,word,noun,das,
beachten,word,verb,,"beachten, beachtete, hat beachtet"
die Aussage,word,noun,die,
erwägen,word,verb,,"erwägen, erwog, hat erwogen"
die Verantwortung,word,noun,die,
beheben,word,verb,,"beheben, behob, hat behoben"
der Prozess,word,noun,der,
ausnutzen,word,verb,,"ausnutzen, nutzte aus, hat ausgenutzt"
die Entwicklung,word,noun,die,
einhalten,word,verb,,"einhalten, hielt ein, hat eingehalten"
das Konzept,word,noun,das,
ausdrücken,word,verb,,"ausdrücken, drückte aus, hat ausgedrückt"
die Bedeutung,word,noun,die,
darstellen,word,verb,,"darstellen, stellte dar, hat dargestellt"
die Frage,word,noun,die,
überprüfen,word,verb,,"überprüfen, überprüfte, hat überprüft"
der Vorschlag,word,noun,der,
begründen,word,verb,,"begründen, begründete, hat begründet"
die Lösung,word,noun,die,
erfordern,word,verb,,"erfordern, erforderte, hat erfordert"
die Entscheidung,word,noun,die,
vermeiden,word,verb,,"vermeiden, vermied, hat vermieden"
die Möglichkeit,word,noun,die,
entwickeln,word,verb,,"entwickeln, entwickelte, hat entwickelt"
die Aufgabe,word,noun,die,
beantragen,word,verb,,"beantragen, beantragte, hat beantragt"
die Verantwortung,word,noun,die,
erarbeiten,word,verb,,"erarbeiten, erarbeitete, hat erarbeitet"
das Ergebnis,word,noun,das,
prüfen,word,verb,,"prüfen, prüfte, hat geprüft"
die Darstellung,word,noun,die,
sich ergeben,phrase,verb,,"ergab sich, hat sich ergeben"
die Unterstützung,word,noun,die,
vermitteln,word,verb,,"vermitteln, vermittelte, hat vermittelt"
der Eindruck,word,noun,der,
erklären,word,verb,,"erklären, erklärte, hat erklärt"
die Maßnahme,word,noun,die,
reagieren,word,verb,,"reagieren, reagierte, hat reagiert"
das Verständnis,word,noun,das,
